**************************************************
Checking constraint violation of RightStance:
***************************************
Constraint: timeDuration 	Node: 1 
---------------------------------------
       Lower   Constraint        Upper
5.00000000E-01 9.95220731E-01 1.00000000E+00
***************************************
Constraint: intX 	Node: 2 
---------------------------------------
       Lower   Constraint        Upper
-1.00000000E-04 8.42511705E-06 1.00000000E-04
-1.00000000E-04 2.56307122E-08 1.00000000E-04
-1.00000000E-04 9.47410817E-07 1.00000000E-04
-1.00000000E-04 -5.27635046E-08 1.00000000E-04
-1.00000000E-04 3.28928871E-06 1.00000000E-04
-1.00000000E-04 5.42362631E-06 1.00000000E-04
-1.00000000E-04 -1.98985352E-06 1.00000000E-04
***************************************
Constraint: intX 	Node: 12 
---------------------------------------
       Lower   Constraint        Upper
-1.00000000E-04 -3.88500296E-08 1.00000000E-04
-1.00000000E-04 1.12865309E-08 1.00000000E-04
-1.00000000E-04 -1.94037185E-07 1.00000000E-04
-1.00000000E-04 -1.17079971E-07 1.00000000E-04
-1.00000000E-04 8.12821645E-07 1.00000000E-04
-1.00000000E-04 7.53995966E-07 1.00000000E-04
-1.00000000E-04 -6.15445510E-14 1.00000000E-04
-1.00000000E-04 1.20846339E-13 1.00000000E-04
-1.00000000E-04 -5.95591548E-14 1.00000000E-04
-1.00000000E-04 4.97014789E-06 1.00000000E-04
-1.00000000E-04 1.22933952E-06 1.00000000E-04
-1.00000000E-04 -4.86828462E-06 1.00000000E-04
-1.00000000E-04 1.23953649E-06 1.00000000E-04
-1.00000000E-04 -1.12616712E-06 1.00000000E-04
-1.00000000E-04 -3.19386407E-06 1.00000000E-04
-1.00000000E-04 2.16699775E-08 1.00000000E-04
-1.00000000E-04 -3.96920422E-07 1.00000000E-04
-1.00000000E-04 9.35598573E-08 1.00000000E-04
-1.00000000E-04 -1.26255785E-06 1.00000000E-04
-1.00000000E-04 -7.45746922E-07 1.00000000E-04
-1.00000000E-04 8.46558418E-07 1.00000000E-04
-1.00000000E-04 1.56318153E-07 1.00000000E-04
-1.00000000E-04 -2.47904676E-08 1.00000000E-04
-1.00000000E-04 6.88428458E-07 1.00000000E-04
-1.00000000E-04 3.17208365E-07 1.00000000E-04
-1.00000000E-04 -1.71758341E-06 1.00000000E-04
-1.00000000E-04 -2.82175651E-06 1.00000000E-04
-1.00000000E-04 -4.84848177E-15 1.00000000E-04
-1.00000000E-04 -1.15000861E-14 1.00000000E-04
