========================================================
Phase: 1
========================================================
--------------------------------------------------------
Constraint: dynamics
--------------------------------------------------------
*************
Node: 1 
*************
          cl           yc           cu
0.00000000E+00 1.77635684E-13 0.00000000E+00
0.00000000E+00 -2.99316127E-13 0.00000000E+00
0.00000000E+00 -2.67494360E-15 0.00000000E+00
0.00000000E+00 6.17284002E-14 0.00000000E+00
0.00000000E+00 5.79362947E-13 0.00000000E+00
0.00000000E+00 9.44133660E-13 0.00000000E+00
0.00000000E+00 3.08329751E-14 0.00000000E+00
0.00000000E+00 5.22248911E-13 0.00000000E+00
0.00000000E+00 1.20253633E-13 0.00000000E+00
0.00000000E+00 2.70894418E-14 0.00000000E+00
0.00000000E+00 2.13096207E-12 0.00000000E+00
0.00000000E+00 -1.81898940E-12 0.00000000E+00
0.00000000E+00 1.35347289E-12 0.00000000E+00
0.00000000E+00 1.95399252E-14 0.00000000E+00
*************
Node: 12 
*************
          cl           yc           cu
0.00000000E+00 -1.29318778E-12 0.00000000E+00
0.00000000E+00 -3.09796633E-12 0.00000000E+00
0.00000000E+00 -1.02318154E-11 0.00000000E+00
0.00000000E+00 -1.79056769E-12 0.00000000E+00
0.00000000E+00 2.50111043E-12 0.00000000E+00
0.00000000E+00 -3.34843264E-13 0.00000000E+00
0.00000000E+00 1.94733119E-13 0.00000000E+00
0.00000000E+00 -1.98951966E-13 0.00000000E+00
0.00000000E+00 3.29181127E-13 0.00000000E+00
0.00000000E+00 -4.92409932E-14 0.00000000E+00
0.00000000E+00 5.05151476E-14 0.00000000E+00
0.00000000E+00 -1.83114635E-12 0.00000000E+00
0.00000000E+00 -5.32907052E-15 0.00000000E+00
0.00000000E+00 -6.44415077E-14 0.00000000E+00
0.00000000E+00 -1.42108547E-14 0.00000000E+00
0.00000000E+00 -5.86761542E-14 0.00000000E+00
0.00000000E+00 -9.76996262E-15 0.00000000E+00
0.00000000E+00 -7.42350625E-13 0.00000000E+00
0.00000000E+00 2.06057393E-12 0.00000000E+00
0.00000000E+00 -4.08367784E-13 0.00000000E+00
0.00000000E+00 -1.95399252E-14 0.00000000E+00
*************
Node: 13 
*************
          cl           yc           cu
0.00000000E+00 1.15107923E-12 0.00000000E+00
0.00000000E+00 3.24362759E-12 0.00000000E+00
0.00000000E+00 2.95585778E-12 0.00000000E+00
0.00000000E+00 2.33946196E-12 0.00000000E+00
0.00000000E+00 -1.67688086E-12 0.00000000E+00
0.00000000E+00 1.42730272E-12 0.00000000E+00
0.00000000E+00 -1.15907284E-13 0.00000000E+00
0.00000000E+00 6.39488462E-14 0.00000000E+00
0.00000000E+00 -1.20681243E-13 0.00000000E+00
0.00000000E+00 -2.68318354E-15 0.00000000E+00
0.00000000E+00 4.88498131E-15 0.00000000E+00
0.00000000E+00 -1.55035706E-13 0.00000000E+00
0.00000000E+00 -7.21644966E-13 0.00000000E+00
0.00000000E+00 -2.78423118E-14 0.00000000E+00
0.00000000E+00 -4.13891144E-13 0.00000000E+00
0.00000000E+00 7.59886945E-14 0.00000000E+00
0.00000000E+00 8.21565038E-15 0.00000000E+00
0.00000000E+00 2.51643151E-12 0.00000000E+00
0.00000000E+00 -7.10542736E-13 0.00000000E+00
0.00000000E+00 1.57363012E-12 0.00000000E+00
0.00000000E+00 -5.06261699E-14 0.00000000E+00
*************
Node: 14 
*************
          cl           yc           cu
0.00000000E+00 1.42108547E-13 0.00000000E+00
0.00000000E+00 1.81543669E-12 0.00000000E+00
0.00000000E+00 -6.82121026E-13 0.00000000E+00
0.00000000E+00 1.30251365E-12 0.00000000E+00
0.00000000E+00 -1.13686838E-13 0.00000000E+00
0.00000000E+00 2.85993451E-13 0.00000000E+00
0.00000000E+00 -8.72635297E-14 0.00000000E+00
0.00000000E+00 -2.13162821E-14 0.00000000E+00
0.00000000E+00 -9.00390873E-14 0.00000000E+00
0.00000000E+00 1.41774613E-14 0.00000000E+00
0.00000000E+00 -3.57491814E-14 0.00000000E+00
0.00000000E+00 8.08068890E-13 0.00000000E+00
0.00000000E+00 -2.88657986E-14 0.00000000E+00
0.00000000E+00 2.64857580E-14 0.00000000E+00
0.00000000E+00 -1.95399252E-14 0.00000000E+00
0.00000000E+00 -2.72381943E-14 0.00000000E+00
0.00000000E+00 2.02060590E-14 0.00000000E+00
0.00000000E+00 4.85694818E-13 0.00000000E+00
0.00000000E+00 -9.23705556E-14 0.00000000E+00
0.00000000E+00 2.62095901E-13 0.00000000E+00
0.00000000E+00 -1.06137321E-13 0.00000000E+00
*************
Node: 15 
*************
          cl           yc           cu
0.00000000E+00 -1.70530257E-13 0.00000000E+00
0.00000000E+00 1.90070182E-12 0.00000000E+00
0.00000000E+00 0.00000000E+00 0.00000000E+00
0.00000000E+00 1.55919722E-12 0.00000000E+00
0.00000000E+00 -1.42108547E-13 0.00000000E+00
0.00000000E+00 7.23865412E-13 0.00000000E+00
0.00000000E+00 -1.03916875E-13 0.00000000E+00
0.00000000E+00 -3.55271368E-14 0.00000000E+00
0.00000000E+00 -2.58681965E-14 0.00000000E+00
0.00000000E+00 1.40022542E-14 0.00000000E+00
0.00000000E+00 2.72004641E-15 0.00000000E+00
0.00000000E+00 7.10785597E-14 0.00000000E+00
0.00000000E+00 -8.34887715E-14 0.00000000E+00
0.00000000E+00 -1.65492620E-14 0.00000000E+00
0.00000000E+00 -4.26325641E-14 0.00000000E+00
0.00000000E+00 5.67384681E-14 0.00000000E+00
0.00000000E+00 -3.06421555E-14 0.00000000E+00
0.00000000E+00 1.41067713E-12 0.00000000E+00
0.00000000E+00 2.13162821E-14 0.00000000E+00
0.00000000E+00 7.74366682E-13 0.00000000E+00
0.00000000E+00 3.10862447E-14 0.00000000E+00
*************
Node: 16 
*************
          cl           yc           cu
0.00000000E+00 -1.65556457E-12 0.00000000E+00
0.00000000E+00 -3.09086090E-13 0.00000000E+00
0.00000000E+00 -3.18323146E-12 0.00000000E+00
0.00000000E+00 1.78967952E-13 0.00000000E+00
0.00000000E+00 1.94688710E-12 0.00000000E+00
0.00000000E+00 -2.06057393E-13 0.00000000E+00
0.00000000E+00 4.15223411E-14 0.00000000E+00
0.00000000E+00 -9.23705556E-14 0.00000000E+00
0.00000000E+00 9.84767823E-14 0.00000000E+00
0.00000000E+00 2.15105711E-14 0.00000000E+00
0.00000000E+00 -8.37108161E-14 0.00000000E+00
0.00000000E+00 -5.92165206E-14 0.00000000E+00
0.00000000E+00 -2.81330514E-13 0.00000000E+00
0.00000000E+00 -2.23675245E-14 0.00000000E+00
0.00000000E+00 -1.54543045E-13 0.00000000E+00
0.00000000E+00 2.54973993E-14 0.00000000E+00
0.00000000E+00 7.56061880E-14 0.00000000E+00
0.00000000E+00 -1.07108766E-13 0.00000000E+00
0.00000000E+00 2.04636308E-12 0.00000000E+00
0.00000000E+00 -8.41826608E-14 0.00000000E+00
0.00000000E+00 7.05657754E-13 0.00000000E+00
*************
Node: 17 
*************
          cl           yc           cu
0.00000000E+00 4.76063633E-13 0.00000000E+00
0.00000000E+00 -3.39284156E-13 0.00000000E+00
0.00000000E+00 9.09494702E-13 0.00000000E+00
0.00000000E+00 -4.56523708E-13 0.00000000E+00
0.00000000E+00 -5.96855898E-13 0.00000000E+00
0.00000000E+00 -9.02389274E-13 0.00000000E+00
0.00000000E+00 -1.55431223E-14 0.00000000E+00
0.00000000E+00 3.55271368E-14 0.00000000E+00
0.00000000E+00 -1.01002540E-13 0.00000000E+00
0.00000000E+00 7.40258549E-14 0.00000000E+00
0.00000000E+00 6.66133815E-15 0.00000000E+00
0.00000000E+00 1.48165855E-12 0.00000000E+00
0.00000000E+00 -5.88418203E-14 0.00000000E+00
0.00000000E+00 1.16885668E-14 0.00000000E+00
0.00000000E+00 -3.37507799E-14 0.00000000E+00
0.00000000E+00 -3.76855665E-14 0.00000000E+00
0.00000000E+00 -5.37347944E-14 0.00000000E+00
0.00000000E+00 -1.53874136E-12 0.00000000E+00
0.00000000E+00 -4.72510919E-13 0.00000000E+00
0.00000000E+00 -8.97004693E-13 0.00000000E+00
0.00000000E+00 -2.28705943E-13 0.00000000E+00
*************
Node: 18 
*************
          cl           yc           cu
0.00000000E+00 4.90274488E-13 0.00000000E+00
0.00000000E+00 -4.13891144E-13 0.00000000E+00
0.00000000E+00 -2.95585778E-12 0.00000000E+00
0.00000000E+00 -8.97060204E-14 0.00000000E+00
0.00000000E+00 -2.98427949E-13 0.00000000E+00
0.00000000E+00 -2.26485497E-13 0.00000000E+00
0.00000000E+00 5.55111512E-15 0.00000000E+00
0.00000000E+00 -2.13162821E-14 0.00000000E+00
0.00000000E+00 4.62130334E-14 0.00000000E+00
0.00000000E+00 -2.13318946E-14 0.00000000E+00
0.00000000E+00 2.90878432E-14 0.00000000E+00
0.00000000E+00 4.15344842E-13 0.00000000E+00
0.00000000E+00 -3.91978117E-13 0.00000000E+00
0.00000000E+00 8.52200255E-14 0.00000000E+00
0.00000000E+00 -2.18491891E-13 0.00000000E+00
0.00000000E+00 -2.71627339E-14 0.00000000E+00
0.00000000E+00 3.29736238E-14 0.00000000E+00
0.00000000E+00 -6.45039577E-13 0.00000000E+00
0.00000000E+00 4.26325641E-14 0.00000000E+00
0.00000000E+00 -3.36355943E-13 0.00000000E+00
0.00000000E+00 -1.74082970E-13 0.00000000E+00
*************
Node: 19 
*************
          cl           yc           cu
0.00000000E+00 -2.52242671E-13 0.00000000E+00
0.00000000E+00 4.79793982E-12 0.00000000E+00
0.00000000E+00 2.27373675E-13 0.00000000E+00
0.00000000E+00 4.08517664E-12 0.00000000E+00
0.00000000E+00 3.41060513E-13 0.00000000E+00
0.00000000E+00 1.72839520E-12 0.00000000E+00
0.00000000E+00 -1.94733119E-13 0.00000000E+00
0.00000000E+00 -4.97379915E-14 0.00000000E+00
0.00000000E+00 6.58917365E-14 0.00000000E+00
0.00000000E+00 -1.16629796E-14 0.00000000E+00
0.00000000E+00 1.42941214E-14 0.00000000E+00
0.00000000E+00 1.27904631E-12 0.00000000E+00
0.00000000E+00 5.24469357E-13 0.00000000E+00
0.00000000E+00 1.15078086E-13 0.00000000E+00
0.00000000E+00 3.03757020E-13 0.00000000E+00
0.00000000E+00 1.69820755E-14 0.00000000E+00
0.00000000E+00 -5.88418203E-15 0.00000000E+00
0.00000000E+00 2.39613884E-12 0.00000000E+00
0.00000000E+00 -1.63424829E-13 0.00000000E+00
0.00000000E+00 1.50839063E-12 0.00000000E+00
0.00000000E+00 -2.10054196E-13 0.00000000E+00
*************
Node: 20 
*************
          cl           yc           cu
0.00000000E+00 7.78044296E-13 0.00000000E+00
0.00000000E+00 -1.30206956E-12 0.00000000E+00
0.00000000E+00 -4.54747351E-13 0.00000000E+00
0.00000000E+00 -8.33111358E-13 0.00000000E+00
0.00000000E+00 -4.26325641E-13 0.00000000E+00
0.00000000E+00 -1.32338585E-13 0.00000000E+00
0.00000000E+00 2.75335310E-14 0.00000000E+00
0.00000000E+00 -1.42108547E-14 0.00000000E+00
0.00000000E+00 2.96013214E-14 0.00000000E+00
0.00000000E+00 -3.89189549E-14 0.00000000E+00
0.00000000E+00 7.49400542E-16 0.00000000E+00
0.00000000E+00 -4.73981965E-13 0.00000000E+00
0.00000000E+00 3.48165941E-13 0.00000000E+00
0.00000000E+00 9.16280940E-15 0.00000000E+00
0.00000000E+00 1.95399252E-13 0.00000000E+00
0.00000000E+00 -5.94142791E-15 0.00000000E+00
0.00000000E+00 -3.33066907E-15 0.00000000E+00
0.00000000E+00 -4.72843986E-13 0.00000000E+00
0.00000000E+00 -6.99884595E-13 0.00000000E+00
0.00000000E+00 -2.93876035E-13 0.00000000E+00
0.00000000E+00 -5.51558799E-13 0.00000000E+00
*************
Node: 21 
*************
          cl           yc           cu
0.00000000E+00 -5.75539616E-13 0.00000000E+00
0.00000000E+00 4.90096852E-12 0.00000000E+00
0.00000000E+00 -1.59161573E-12 0.00000000E+00
0.00000000E+00 4.18109991E-12 0.00000000E+00
0.00000000E+00 8.95283847E-13 0.00000000E+00
0.00000000E+00 1.60760294E-12 0.00000000E+00
0.00000000E+00 2.33146835E-14 0.00000000E+00
0.00000000E+00 7.10542736E-15 0.00000000E+00
0.00000000E+00 1.03153597E-13 0.00000000E+00
0.00000000E+00 -2.35813973E-14 0.00000000E+00
0.00000000E+00 4.39648318E-14 0.00000000E+00
0.00000000E+00 1.41435474E-12 0.00000000E+00
0.00000000E+00 4.91606755E-13 0.00000000E+00
0.00000000E+00 9.72277814E-14 0.00000000E+00
0.00000000E+00 2.77111667E-13 0.00000000E+00
0.00000000E+00 4.76628285E-14 0.00000000E+00
0.00000000E+00 -5.10702591E-15 0.00000000E+00
0.00000000E+00 2.30537811E-12 0.00000000E+00
0.00000000E+00 2.16715534E-13 0.00000000E+00
0.00000000E+00 1.41328615E-12 0.00000000E+00
0.00000000E+00 -6.75015599E-14 0.00000000E+00
--------------------------------------------------------
Constraint: holAcc
--------------------------------------------------------
*************
Node: 1 
*************
          cl           yc           cu
0.00000000E+00 -1.71389812E-13 0.00000000E+00
0.00000000E+00 -1.69578761E-13 0.00000000E+00
0.00000000E+00 -3.54383189E-13 0.00000000E+00
0.00000000E+00 -8.54721849E-12 0.00000000E+00
0.00000000E+00 2.64912780E-12 0.00000000E+00
0.00000000E+00 -9.05304044E-13 0.00000000E+00
0.00000000E+00 4.54219094E-13 0.00000000E+00
0.00000000E+00 -2.41536541E-13 0.00000000E+00
0.00000000E+00 8.59472217E-13 0.00000000E+00
0.00000000E+00 -1.65820634E-12 0.00000000E+00
